epoch: 0, iteration: 0, simlex-999: SpearmanrResult(correlation=0.012884731465537367, pvalue=0.6905637592948926), men: SpearmanrResult(correlation=-0.027131828211088477, pvalue=0.16738708868265353), sim353: SpearmanrResult(correlation=-0.0051005552572385825, pvalue=0.9278117515901538), nearest to monster: ['monster', 'liked', 'symbolics', 'afloat', 'tuberculosis', 'utilized', 'greyhounds', 'instances', 'mbit', 'antonine']
epoch: 0, iteration: 0, simlex-999: SpearmanrResult(correlation=0.012884731465537367, pvalue=0.6905637592948926), men: SpearmanrResult(correlation=-0.027131828211088477, pvalue=0.16738708868265353), sim353: SpearmanrResult(correlation=-0.0051005552572385825, pvalue=0.9278117515901538), nearest to monster: ['monster', 'liked', 'symbolics', 'afloat', 'tuberculosis', 'utilized', 'greyhounds', 'instances', 'mbit', 'antonine']
epoch: 0, iteration: 2000, simlex-999: SpearmanrResult(correlation=-0.03348660201577044, pvalue=0.3007350842807133), men: SpearmanrResult(correlation=0.019324220705383414, pvalue=0.32548143257283435), sim353: SpearmanrResult(correlation=-0.03214361116182864, pvalue=0.5679365669701395), nearest to monster: ['monster', 'whose', 'student', 'water', 'future', 'previous', 'length', 'cannot', 'ice', 'originally']
epoch: 0, iteration: 4000, simlex-999: SpearmanrResult(correlation=-0.052658859428040224, pvalue=0.10351972852319487), men: SpearmanrResult(correlation=0.028008363060846135, pvalue=0.1540792868040438), sim353: SpearmanrResult(correlation=-0.014018130520964204, pvalue=0.8033554373380895), nearest to monster: ['monster', 'water', 'whose', 'future', 'among', 'five', 'zero', 'seven', 'cannot', 'student']
epoch: 0, iteration: 6000, simlex-999: SpearmanrResult(correlation=-0.058323675216501204, pvalue=0.0713184448433666), men: SpearmanrResult(correlation=0.03161422244855518, pvalue=0.10764946700668242), sim353: SpearmanrResult(correlation=-0.014061605402985589, pvalue=0.8027580764819797), nearest to monster: ['monster', 'water', 'whose', 'future', 'among', 'point', 'field', 'according', 'cannot', 'data']
epoch: 0, iteration: 8000, simlex-999: SpearmanrResult(correlation=-0.055150932303297116, pvalue=0.08815989784493625), men: SpearmanrResult(correlation=0.02615434707530094, pvalue=0.18322510444662718), sim353: SpearmanrResult(correlation=-0.01611817256882125, pvalue=0.7746369351482366), nearest to monster: ['monster', 'water', 'point', 'field', 'future', 'whose', 'student', 'length', 'th', 'according']
epoch: 0, iteration: 10000, simlex-999: SpearmanrResult(correlation=-0.05638436564183113, pvalue=0.08126704883016025), men: SpearmanrResult(correlation=0.022028327476893643, pvalue=0.26233983494219903), sim353: SpearmanrResult(correlation=-0.020419573664267585, pvalue=0.7168013210045298), nearest to monster: ['monster', 'water', 'student', 'future', 'cannot', 'formed', 'length', 'element', 'whose', 'means']
epoch: 0, iteration: 12000, simlex-999: SpearmanrResult(correlation=-0.053688746897277706, pvalue=0.09693249192851976), men: SpearmanrResult(correlation=0.018559826849385206, pvalue=0.34498812285331326), sim353: SpearmanrResult(correlation=-0.030726852452865643, pvalue=0.585128187969642), nearest to monster: ['monster', 'student', 'future', 'element', 'formed', 'cannot', 'length', 'whose', 'previous', 'persons']
epoch: 0, iteration: 14000, simlex-999: SpearmanrResult(correlation=-0.05394045974388464, pvalue=0.09537451348785027), men: SpearmanrResult(correlation=0.015085063617225928, pvalue=0.44276584870749147), sim353: SpearmanrResult(correlation=-0.032487118706040534, pvalue=0.5638048076457847), nearest to monster: ['monster', 'student', 'future', 'length', 'element', 'formed', 'previous', 'whose', 'cannot', 'persons']
epoch: 0, iteration: 16000, simlex-999: SpearmanrResult(correlation=-0.05388761024632405, pvalue=0.09569995425066825), men: SpearmanrResult(correlation=0.012341977221208736, pvalue=0.5300364065860536), sim353: SpearmanrResult(correlation=-0.032099203342424824, pvalue=0.5684717615193084), nearest to monster: ['monster', 'student', 'future', 'length', 'whose', 'element', 'persons', 'previous', 'formed', 'ice']
epoch: 0, iteration: 18000, simlex-999: SpearmanrResult(correlation=-0.05207625532954323, pvalue=0.10740055005564565), men: SpearmanrResult(correlation=0.009530646721992999, pvalue=0.6277440041284973), sim353: SpearmanrResult(correlation=-0.03635302463136707, pvalue=0.5183259892006493), nearest to monster: ['monster', 'student', 'future', 'whose', 'length', 'persons', 'element', 'previous', 'ice', 'formed']
